symbol,name,quantity,average_price,account
BRK,Berkshire Hathaway CDR,,,
GNRC,Generac Holdings Inc.,,,
XBAL,iShares Core Balanced ETF Portfolio,,,
ZLB,BMO Low Volatility Canadian Equity Fund,,,
AAON,AAON Inc.,,,
ABXX,Abaxx Technologies,,,
ALCH,Alchemist Mining,,,
ANRG,Anaergia,,,
ATD,Alimentation Couche-Tard,,,
AXO,Axos?,,,
BCBN,BCBN,,,
BNS,Bank of Nova Scotia,,,
CLS,Celestica,,,
CNDU,CNDU,,,
CNQ,Canadian Natural Resources,,,
CNT,CNT,,,
COW,iShares Global Agriculture Index ETF,,,
CP,Canadian Pacific Kansas City,,,
CTVA,Corteva,,,
CWW,iShares Global Water Index ETF,,,
EU,EU,,,
EXE,Extendicare,,,
GWW,WW Grainger,,,
H,Hydro One,,,
HTO,HTO,,,
KILO.B,KILO.B,,,
LII,Lennox International,,,
LMCU,LMCU,,,
LNN,Lindsay Corp.,,,
LNR,Linamar,,,
LUV,Southwest Airlines,,,
MOD,Modine Manufacturing,,,
NICE,NICE,,,
NTR,Nutrien,,,
NVDA,NVIDIA,,,
STN,Stantec,,,
SUN,SUN,,,
TD,Toronto-Dominion Bank,,,
TXF,CI Tech Giants Covered Call ETF,,,
VDY,Vanguard FTSE Canadian High Dividend Yield ETF,,,
VE,Vanguard FTSE Developed Europe ETF,,,
VIU,Vanguard FTSE Developed All Cap ex North America ETF,,,
VMI,Valmont Industries,,,
WTS,Watts Water Technologies,,,
XEQT,iShares Core Equity ETF Portfolio,,,
XIC,iShares Core S&P/TSX Capped Composite Index ETF,,,
ZEB,BMO Equal Weight Banks Index ETF,,,
BDT,Bird Construction,,,
BEPC,Brookfield Renewable Corp.,,,
CCO,Cameco,,,
MU,Micron Technology,,,
EEMV,iShares MSCI Emerging Markets Min Vol Factor ETF,,,
QCN,QCN,,,
VTI,Vanguard Total Stock Market ETF,,,
ZEA,BMO MSCI EAFE Index ETF,,,
ZSP,BMO S&P 500 Index ETF,,,
